date,pm25,month
2022-09-12,102.0,9
2022-09-13,135.0,9
2022-09-14,135.0,9
2022-09-15,134.0,9
2022-09-16,133.0,9
2022-09-17,135.0,9
2022-09-18,158.0,9
2022-09-19,138.0,9
2022-09-20,137.0,9
2022-09-21,126.0,9
2022-09-22,141.0,9
2022-09-23,138.0,9
2022-09-24,102.0,9
2022-09-25,126.0,9
2022-09-26,121.0,9
2022-09-27,102.0,9
2022-09-28,134.0,9
2022-09-29,129.0,9
2022-09-30,132.0,9
2022-10-01,103.0,10
2022-10-02,80.0,10
2022-10-03,118.0,10
2022-10-04,98.0,10
2022-10-05,106.0,10
2022-10-06,118.0,10
2022-10-07,99.0,10
2022-10-08,79.0,10
2022-10-09,119.0,10
2022-10-10,100.0,10
2022-10-11,151.0,10
2022-10-12,142.0,10
2022-10-13,123.0,10
2022-10-14,107.0,10
2022-10-15,118.0,10
2022-10-16,129.0,10
2022-10-17,126.0,10
2022-10-18,134.0,10
2022-10-19,135.0,10
2022-10-20,125.0,10
2022-10-21,86.0,10
2022-10-22,111.0,10
2022-10-23,87.0,10
2022-10-24,62.0,10
2022-10-25,83.0,10
2022-10-26,68.0,10
2022-10-27,98.0,10
2022-10-28,94.0,10
2022-10-29,99.0,10
2022-10-30,91.0,10
2022-10-31,97.0,10
2022-11-01,127.0,11
2022-11-02,127.0,11
2022-11-03,114.0,11
2022-11-04,137.0,11
2022-11-05,123.0,11
2022-11-06,91.0,11
2022-11-07,100.0,11
2022-11-08,131.0,11
2022-11-09,116.0,11
2022-11-10,88.0,11
2022-11-11,69.0,11
2022-11-12,70.0,11
2022-11-13,89.0,11
2022-11-14,88.0,11
2022-11-15,82.0,11
2022-11-16,76.0,11
2022-11-17,85.0,11
2022-11-18,70.0,11
2022-11-19,84.0,11
2022-11-20,64.0,11
2022-11-21,70.0,11
2022-11-22,70.0,11
2022-11-23,79.0,11
2022-11-24,75.0,11
2022-11-25,107.0,11
2022-11-26,117.0,11
2022-11-27,130.0,11
2022-11-28,118.0,11
2022-11-29,108.0,11
2022-11-30,94.0,11
2022-12-01,102.0,12
2022-12-02,104.0,12
2022-12-03,97.0,12
2022-12-04,121.0,12
2022-12-05,129.0,12
2022-12-06,116.0,12
2022-12-07,132.0,12
2022-12-08,111.0,12
2022-12-09,56.0,12
2022-12-10,80.0,12
2022-12-11,64.0,12
2022-12-12,42.0,12
2022-12-13,40.0,12
2022-12-14,41.0,12
2022-12-15,58.0,12
2022-12-16,79.0,12
2022-12-17,122.0,12
2022-12-18,126.0,12
2022-12-19,128.0,12
2022-12-20,96.0,12
2022-12-21,93.0,12
2022-12-22,56.0,12
2022-12-23,53.0,12
2022-12-24,103.0,12
2022-12-25,59.0,12
2022-12-26,79.0,12
2022-12-27,47.0,12
2022-12-28,57.0,12
2022-12-29,54.0,12
2022-12-30,75.0,12
2022-12-31,75.0,12
2023-01-01,57.0,1
2023-01-02,55.0,1
2023-01-03,40.0,1
2023-01-04,70.0,1
2023-01-05,67.0,1
2023-01-06,42.0,1
2023-01-07,43.0,1
2023-01-08,50.0,1
2023-01-09,56.0,1
2023-01-10,52.0,1
2023-01-11,92.0,1
2023-01-12,89.0,1
2023-01-13,119.0,1
2023-01-14,95.0,1
2023-01-15,57.0,1
2023-01-16,58.0,1
2023-01-17,63.0,1
2023-01-18,115.0,1
2023-01-19,76.0,1
2023-01-20,65.0,1
2023-01-21,67.0,1
2023-01-22,56.0,1
2023-01-23,51.0,1
2023-01-24,52.0,1
2023-01-25,61.0,1
2023-01-26,66.0,1
2023-01-27,63.0,1
2023-01-28,71.0,1
2023-01-29,74.0,1
2023-01-30,75.0,1
2023-01-31,95.0,1
